dataset,model,desc_framework,query_idx,golden_answer_norm,majority_vanilla,majority_first,majority_rand,majority_weighted
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,0,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,1,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,2,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,3,2,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,4,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,5,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,6,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,7,0,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,8,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,9,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,10,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,11,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,12,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,13,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,14,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,15,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,16,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,17,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,18,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,19,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,20,2,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,21,1,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,22,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,23,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,24,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,25,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,26,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,27,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,28,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,29,1,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,30,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,31,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,32,0,0,0,0,0
